cor.locs,Latitude,Longitude
"Indian Sch Mines Univ, Dept Environm Sci & Engn, Dhanbad 826004, Jharkhand, India.",23.8529508,86.4288534
NA,,
"Shahid Beheshti Univ, GC, Fac Life Sci & Biotechnol, Dept Genet, Tehran 1983963113, Iran.",35.7218583,51.3346954
"Indian Inst Remote Sensing, Dehra Dun 248001, Uttar Pradesh, India.",27.5705886,80.0981869
"Sikkim Univ, Dept Zool, Tadong 737102, Gangtok, India.",27.3087859,88.5879671
"CSIR Natl Inst Oceanog CSIR NIO, Biol Oceanog Div BOD, Panaji 403004, Goa, India.",15.459061,73.8051458
"Indian Inst Trop Meteorol, Ctr Climate Change Res, Pune 411008, Maharashtra, India.",18.5378802,73.8048243
"Ctr Oceans Rivers Atmosphere & Land Sci, Indian Inst Technol Kharagpur, Kharagpur, W Bengal, India.",22.34601,87.2319753
"Univ Dev Studies, Sch Engn, Elect Engn Dept, Nyankpala Campus, Nyankpala, Ghana.",9.3722604,-0.8852349
"Manipal Univ, Udupi 576104, Karnataka, India.",13.3533433,74.7848955
NA,,
"Int Crops Res Inst Semi Arid Trop, Patancheru, Andhra Pradesh, India.",15.9128998,79.7399875
"Tripura Univ, Dept Zool, Dasaratha Deb Mem Coll, Khowai 799201, Tripura, India.",24.0743358,91.6070757
"Assam Univ, Dept Ecol & Environm Sci, Silchar 788011, Assam, India.",24.6849545,92.7511682
"KERALA FOREST RES INST, PEECHI 680653, KERALA, INDIA.",10.5191749,76.3695167
"NSR Nagar Patamata, 504 Saikrishna Towers, Vijayawada 520008, Andhra Pradesh, India.",16.4980477,80.6624365
"Univ Kalyani, Dept Geog, Kalyani 741235, W Bengal, India.",22.9788116,88.4478432
"ICAR Indian Inst Soil Sci, Berasia Rd, Bhopal 462038, India.",23.3077978,77.4069479
"Indian Inst Technol Hyderabad, Dept Civil Engn, Hyderabad, Telangana, India.",17.4514762,78.4189106
NA,,
"ICAR Natl Bur Soil Survey & Land Use Planning, Reg Ctr, Bangalore 560024, Karnataka, India.",12.9981436,77.5695575
"Cooch Behar Panchanan Barma Univ, Dept Geog, Cooch Behar 736101, India.",26.3215884,89.4695429
"Univ Minnesota, Dept Fisheries & Wildlife, St Paul, MN 55108 USA.",44.9823027,-93.1823116
NA,,
"US Geol Survey, SW Geog Sci Ctr, 2255 N Gemini Dr, Flagstaff, AZ 86001 USA.",35.2154534,-111.6331468
"ICAR Res Complex Goa, Old Goa 403402, Goa, India.",15.4978546,73.9167144
"North Eastern Reg Inst Sci & Technol Deemed Univ, Dept Forestry, Nirjuli 791109, Arunachal Prade, India.",27.1178324,93.7485874
"Indian Inst Technol, Dept Civil Engn, Kanpur 208016, Uttar Pradesh, India.",26.5113857,80.2349196
"Univ Mysore, Dept Studies Appl Bot & Biotechnol, Mysore 570006, Karnataka, India.",12.3105551,76.6221822
"Ctr Ecol & Rural Dev, 46 Vinayagar Koil St,Perumal Raja Garden, Pondicherry 60510, India.",11.9385659,79.823639
"ICAR Indian Agr Res Inst IARI, New Delhi 110012, India.",28.6331469,77.1524959
"Coll Forestry, Ponnampet, India.",12.1445375,75.9382031
