"","cor.locs","Latitude","Longitude","cor.locs2"
"167",NA,NA,NA,NA
"168",NA,NA,NA,NA
"173",NA,NA,NA,NA
"174",NA,NA,NA,NA
"176","ICMR, Vector Control Res Ctr, Pondicherry 605006, India.",NA,NA,"ICMR, Vector Control Res Ctr, Pondicherry 605006, India"
"177","Nat Hist Museum, Cromwell Rd, London SW7 5BD, England.",NA,NA,"Nat Hist Museum, Cromwell Rd, London SW7 5BD, England"
"178",NA,NA,NA,NA
"179","Natl Inst Technol Karnataka Surathkal, Sch Management, Mangalore 575025, Karnataka, India.",NA,NA,"Natl Inst Technol Karnataka Surathkal, Sch Management, Mangalore 575025, Karnataka, India"
"180","Sardar Swaran Singh Natl Inst Renewable Energy, 12KM Stone,Jalandhar Kapurthala Rd, Kapurthala 144601, Punjab, India.",NA,NA,"Sardar Swaran Singh Natl Inst Renewable Energy, 12KM Stone,Jalandhar Kapurthala Rd, Kapurthala 144601, Punjab, India"
"181","Mizoram Univ, Pachhunga Univ Coll, Dept Zool, Aizawl 796001, Mizoram, India.",NA,NA,"Mizoram Univ, Pachhunga Univ Coll, Dept Zool, Aizawl 796001, Mizoram, India"
"182","Indian Stat Inst, 203 Barrackpore Trunk Rd, Kolkata 700108, W Bengal, India.",NA,NA,"Indian Stat Inst, 203 Barrackpore Trunk Rd, Kolkata 700108, W Bengal, India"
"183",NA,NA,NA,NA
"184",NA,NA,NA,NA
"198",NA,NA,NA,NA
"199",NA,NA,NA,NA
"216",NA,NA,NA,NA
"217",NA,NA,NA,NA
"227",NA,NA,NA,NA
"232","Haryana Agr Univ, Dept Forest, Hisar 125004, Haryana, India.",NA,NA,"Haryana Agr Univ, Dept Forest, Hisar 125004, Haryana, India"
"233",NA,NA,NA,NA
"234",NA,NA,NA,NA
"236","Chinese Acad Sci, Ctr Integrat Conservat, Xishuangbanna Trop Bot Garden, Mengla 666303, Yunnan, Peoples R China.",NA,NA,"Chinese Acad Sci, Ctr Integrat Conservat, Xishuangbanna Trop Bot Garden, Mengla 666303, Yunnan, Peoples R China"
"237","Keystone Fdn, The Nilgiris 643217, Tamil Nadu, India.",NA,NA,"Keystone Fdn, The Nilgiris 643217, Tamil Nadu, India"
"239",NA,NA,NA,NA
"241",NA,NA,NA,NA
"244",NA,NA,NA,NA
"246",NA,NA,NA,NA
"247",NA,NA,NA,NA
