"","address","count","paperID","Latitude","Longitude"
"174","North Eastern Reg Inst Sci & Technol, Dept Forestry, Itanagar, India","1","A1341",NA,NA
"175","Assam Univ, Dept Ecol & Environm Sci, Silchar, India","1","A1341",NA,NA
"176","Tripura Univ, Dept Forestry & Biodivers, Agartala, India","1","A1341",NA,NA
"178","Manipur Univ, Dept Life Sci, Imphal, Manipur, India","1","A1341",NA,NA
"179","Sikkim Univ, Dept Bot, Gangtok, India","1","A1341",NA,NA
"180","NE Hill Univ, Dept Environm Studies, Shillong, Meghalaya, India","2","A1341",NA,NA
"181","Dr Rajendra Prasad Cent Agr Univ, Dept Forestry, Samastipur, Bihar, India","1","A1341",NA,NA
"183","Univ Agr Sci Bangalore, Dept Crop Physiol, Bangalore, Karnataka, India","2","A1032",NA,NA
"184","Univ Agr Sci Bangalore, Sch Ecol & Conservat, Bangalore, Karnataka, India","4","A1032",NA,NA
"185","Ashoka Trust Res Ecol & Environm, Conservat Genet Lab, Bangalore, Karnataka, India","3","A1032",NA,NA
"186","Univ Agr Sci Bangalore, Dept Forestry & Environm Sci, Bangalore, Karnataka, India","1","A1032",NA,NA
"187","Inst Terr Ecosyst, Zurich, Switzerland","1","A1032",NA,NA
"188","Univ Kansas, Biodivers Inst, Lawrence, KS 66045 USA","1","A1032",NA,NA
"189","Concordia Univ, Dept Biol, Montreal, PQ H3G 1M8, Canada","1","A1032",NA,NA
"190","Concordia Univ, Ctr Struct & Funct Genom, Montreal, PQ, Canada","1","A1032",NA,NA
"191","Quebec Ctr Biodivers Sci, Montreal, PQ, Canada","1","A1032",NA,NA
"193","NERIST, Dept Forestry, Nirjuli 791109, Arunachal Prade, India","1","A2665",NA,NA
"194",NA,NA,"C0027",NA,NA
"223",NA,NA,"C0273",NA,NA
"230",NA,"2","A2961",NA,NA
"236",NA,NA,"C0135",NA,NA
"237",NA,NA,"C0238",NA,NA
"261",NA,"2","A2840",NA,NA
"262",NA,NA,"B0027",NA,NA
"275",NA,"1","A3200",NA,NA
"288",NA,NA,"C0224",NA,NA
"296",NA,NA,"C0138",NA,NA
"301",NA,"1","A2935",NA,NA
"303",NA,"2","A3294",NA,NA
"305",NA,"1","A3077",NA,NA
"307",NA,"1","A3247",NA,NA
"308",NA,NA,"B0030",NA,NA
"313",NA,NA,"C0141",NA,NA
"314",NA,NA,"A3304",NA,NA
"315",NA,NA,"C0001",NA,NA
"328",NA,"1","A3113",NA,NA
"332",NA,NA,"B0025",NA,NA
"346",NA,NA,"C0087",NA,NA
"356",NA,NA,"B0028",NA,NA
"357",NA,NA,"C0185",NA,NA
"358",NA,"2","A2954",NA,NA
"359",NA,NA,"C0077",NA,NA
"364",NA,"1","A2857",NA,NA
"371",NA,"1","A3127",NA,NA
